booking_id,tourist_country,hotel_city,arrival_date,hotel_stars,meal_plan,room_type,nights,price_per_night,transport_type,booking_channel
B0036,China,Colombo,2024-08-14,4,Breakfast,Suite,7,16203.0,Train,Online
B0037,China,Colombo,2024-04-30,5,Half Board,Standard,7,23495.0,Flight,Online
B0038,France,Colombo,2024-07-31,5,Breakfast,Suite,4,24498.0,Train,Online
B0039,Australia,Galle,2024-04-22,3,Full Board,Budget,5,7598.0,Flight,Travel Agency
B0040,Germany,Kandy,2024-06-11,4,Full Board,Suite,2,15730.0,Taxi,Travel Agency
B0041,China,Galle,2024-09-23,4,Breakfast,Deluxe,4,13732.0,Bus,Agent
B0042,Germany,Colombo,2024-04-28,4,Breakfast,Standard,1,14744.0,Bus,Travel Agency
B0043,India,Negombo,2024-10-26,5,Room Only,Suite,4,22529.0,Bus,Direct
B0044,Russia,Kandy,2024-10-06,5,Breakfast,Suite,2,23864.0,Taxi,Online
B0045,USA,Galle,2024-08-27,3,Room Only,Suite,5,8103.0,Flight,Online
B0046,Germany,Colombo,2024-07-13,4,Breakfast,Suite,3,14512.0,Taxi,Direct
B0047,India,Colombo,2024-01-10,5,Room Only,Deluxe,2,25750.0,Flight,Online
B0048,UK,Colombo,2024-03-05,4,Room Only,Standard,4,15598.0,Bus,Agent
B0049,USA,Galle,2024-03-24,4,Room Only,Budget,3,15227.0,Taxi,Travel Agency
B0050,Germany,Galle,2024-05-04,3,Half Board,Budget,7,8774.0,Flight,Direct
B0051,UK,Kandy,2024-01-07,4,Full Board,Budget,4,16382.0,Taxi,Agent
B0052,Russia,Colombo,2024-10-02,4,Full Board,Suite,7,,Bus,Direct
B0053,UK,Negombo,2024-05-04,4,Full Board,Deluxe,1,14982.0,Bus,Agent
B0054,India,Colombo,2024-11-01,5,Half Board,Budget,5,27240.0,Flight,Agent
B0055,USA,Galle,2024-11-26,5,Full Board,Suite,7,22586.0,Bus,Agent
B0056,China,Kandy,2024-10-10,5,Half Board,Suite,6,25251.0,Bus,Travel Agency
B0057,UK,Colombo,2024-03-02,5,Breakfast,Standard,2,26193.0,Bus,Direct
B0058,India,Kandy,2024-06-03,3,Breakfast,Deluxe,1,8758.0,Bus,Agent
B0059,UK,Colombo,2024-05-25,4,Full Board,Suite,3,14053.0,Flight,Direct
B0060,France,Kandy,2024-02-07,5,Room Only,Standard,2,26555.0,Bus,Online
B0061,USA,Kandy ,2024-11-12,3,Full Board,Suite,4,7675.0,Taxi,Direct
B0062,Russia,Colombo,2024-04-16,5,Breakfast,Deluxe,-6,-22905.0,Train,Agent
B0063,India,Galle,2024-08-28,4,Room Only,Standard,3,15620.0,Taxi,Online
B0064,USA,Kandy ,2024-12-04,3,Full Board,Budget,5,7559.0,Train,Direct
B0065,UK,Colombo,2024-10-18,4,Full Board,Budget,4,15566.0,Taxi,Direct
B0066,UK,Colombo,2024-08-09,5,Half Board,Deluxe,-1,-22956.0,Flight,Direct
B0067,UK,Kandy,2024-08-14,4,Breakfast,Suite,6,15942.0,Flight,Travel Agency
B0068,  China  ,Negombo,2024-06-17,4,Full Board,Deluxe,6,16335.0,Flight,Travel Agency
B0069,UK,Galle,2024-09-20,3,Full Board,Suite,1,7500.0,Bus,Travel Agency
B0070,UK,Kandy ,2024-05-27,4,Full Board,Budget,1,16419.0,Train,Agent
B0071,India,Colombo,2024-02-28,4,Room Only,Standard,4,16297.0,Bus,Direct
B0072,Germany,Kandy,2024-03-15,4,Breakfast,Standard,7,13709.0,Taxi,Direct
B0073,France,Colombo,2024-06-01,5,Full Board,Standard,4,25192.0,Bus,Direct
B0074,Germany,Colombo,2024-04-06,5,Breakfast,Suite,2,26780.0,Taxi,Online
B0075,Australia,Kandy,2024-12-05,5,Breakfast,Suite,1,23131.0,Bus,Online
B0076,Germany,Kandy,2024-03-14,4,Breakfast,Budget,4,15844.0,Bus,Direct
B0077,UK,Colombo,2024-12-11,5,Full Board,Deluxe,6,26093.0,Taxi,Online
B0078,China,Colombo,2024-04-26,5,Room Only,Suite,1,26301.0,Flight,Travel Agency
B0079,UK,Colombo ,2024-01-29,4,Half Board,Deluxe,4,13936.0,Taxi,Agent
B0080,France,Kandy,2024-05-03,4,Breakfast,Standard,4,15413.0,Taxi,Direct
B0081,Germany,Colombo,2024-10-06,3,Room Only,Suite,3,8780.0,Bus,Travel Agency
B0082,  India  ,Negombo,2024-09-04,3,Breakfast,Suite,5,7774.0,Bus,Direct
B0083,India,Colombo,2024-12-17,5,Room Only,Suite,7,27020.0,Bus,Agent
B0084,  China  ,Kandy,2024-12-13,5,Breakfast,Budget,6,25731.0,Bus,Travel Agency
B0085,UK,Negombo,2024-06-16,5,Full Board,Standard,2,23160.0,Bus,Direct
B0086,France,Kandy,2024-05-31,5,Half Board,Budget,4,27314.0,Train,Agent
B0087,Russia,Negombo,2024-10-12,4,Room Only,Suite,1,14293.0,Flight,Travel Agency
B0088,India,Kandy,2024-11-22,4,Room Only,Standard,4,13575.0,Bus,Agent
B0089,Germany,Galle,2024-11-28,4,Room Only,Standard,1,16338.0,Bus,Travel Agency
B0090,Germany,Kandy,2024-07-08,5,Full Board,Standard,4,25774.0,Taxi,Travel Agency
B0091,China,Colombo,2024-08-15,3,Half Board,Budget,6,7787.0,Bus,Online
B0092,UK,Galle,2024-08-20,3,Breakfast,Budget,1,8458.0,Train,Agent
B0093,France,Kandy,2024-10-27,3,Breakfast,Deluxe,7,7436.0,Flight,Direct
B0094,  UK  ,Colombo,2024-03-30,3,Room Only,Standard,1,7773.0,Train,Direct
B0095,UK,Kandy,2024-02-28,5,Room Only,Suite,4,26390.0,Flight,Travel Agency
B0096,UK,Galle,2024-12-03,5,Half Board,Suite,6,27320.0,Flight,Travel Agency
B0097,UK,Galle,2024-08-15,3,Room Only,Deluxe,5,7437.0,Train,Direct
B0098,USA,Kandy,2024-11-01,5,Half Board,Suite,5,25527.0,Flight,Online
B0099,USA,Galle ,2024-04-20,4,Full Board,Standard,4,14516.0,Taxi,Travel Agency
B0100,  India  ,Galle,2024-07-10,3,Full Board,Budget,1,8530.0,Flight,Travel Agency
B0101,France,Kandy,2024-10-27,5,Half Board,Budget,4,24267.0,Taxi,Online
B0102,India,Kandy,2024-04-18,3,Full Board,Standard,7,7373.0,Bus,Online
B0103,France,Galle,2024-11-14,5,Room Only,Deluxe,1,23402.0,Bus,Direct
B0104,UK,Galle,2024-02-05,3,Room Only,Budget,6,8048.0,Taxi,Travel Agency
B0105,India,Colombo,2024-10-17,5,Room Only,Budget,2,23287.0,Flight,Online
B0106,  Germany  ,Kandy,2024-05-19,3,Room Only,Deluxe,4,7377.0,Taxi,Direct
B0107,Germany,Colombo,2024-06-03,3,Breakfast,Deluxe,3,7724.0,Flight,Travel Agency
B0108,  India  ,Galle,2024-09-13,5,Half Board,Budget,4,26808.0,Flight,Travel Agency
B0109,France,Kandy,2024-10-20,4,Full Board,Deluxe,1,14715.0,Bus,Agent
B0110,France,Negombo,2024-02-15,4,Room Only,Standard,4,15266.0,Flight,Travel Agency
B0111,UK,Galle,2024-02-09,5,Room Only,Standard,7,24246.0,Train,Agent
B0112,UK,Colombo,2024-12-01,3,Breakfast,Suite,4,8407.0,Taxi,Direct
B0113,UK,Colombo ,2024-08-14,5,Half Board,Deluxe,5,22780.0,Flight,Direct
B0114,India,Colombo,2024-11-26,3,Full Board,Suite,5,8086.0,Flight,Travel Agency
B0115,UK,Kandy,2024-09-13,3,Room Only,Suite,1,8497.0,Bus,Online
B0116,UK,Kandy,2024-08-12,5,Breakfast,Deluxe,3,27089.0,Taxi,Travel Agency
B0117,UK,Kandy,2024-06-20,3,Half Board,Budget,5,8285.0,Bus,Direct
B0118,Australia,Negombo,2024-06-19,3,Breakfast,Deluxe,3,8748.0,Taxi,Agent
B0119,India,Kandy,2024-06-17,3,Room Only,Suite,5,7778.0,Bus,Direct
B0120,Australia,Kandy,2024-04-25,3,Breakfast,Budget,3,8551.0,Flight,Online
B0121,China,Kandy,2024-03-19,3,Breakfast,Standard,6,7900.0,Taxi,Direct
B0122,India,Colombo,2024-08-17,3,Breakfast,Deluxe,7,8454.0,Train,Direct
B0123,  India  ,Galle,2024-07-14,5,Full Board,Standard,7,23498.0,Train,Direct
B0124,India,Negombo,2024-12-30,5,Room Only,Deluxe,1,26315.0,Bus,Travel Agency
B0125,India,Negombo ,2024-04-23,4,Half Board,Budget,4,13659.0,Bus,Agent
B0126,UK,Colombo,2024-02-20,5,Half Board,Standard,2,22691.0,Taxi,Agent
B0127,China,Negombo,2024-01-10,4,Breakfast,Standard,5,16320.0,Taxi,Online
B0128,UK,Colombo,2024-11-23,5,Full Board,Budget,1,26683.0,Taxi,Online
B0129,  USA  ,Colombo,2024-01-01,5,Half Board,Standard,5,24582.0,Flight,Direct
B0130,Germany,Negombo,2024-10-10,3,Full Board,Suite,1,8217.0,Bus,Direct
B0131,UK,Colombo,2024-12-02,5,Room Only,Deluxe,2,22721.0,Bus,Agent
B0132,Russia,Kandy,2024-04-03,3,Room Only,Suite,1,7669.0,Flight,Agent
B0133,India,Kandy ,2024-10-05,4,Half Board,Budget,7,15440.0,Bus,Direct
B0134,China,Colombo,2024-07-07,4,Full Board,Suite,4,14517.0,Train,Travel Agency
B0135,USA,Colombo ,2024-02-12,5,Full Board,Budget,4,25512.0,Train,Direct
B0136,China,Colombo,2024-11-04,5,Full Board,Standard,6,24719.0,Taxi,Online
B0137,China,Kandy,2024-11-23,3,Room Only,Suite,3,8020.0,Train,Online
B0138,USA,Colombo,2024-02-04,3,Half Board,Deluxe,4,8719.0,Flight,Agent
B0139,  India  ,Galle,2024-10-20,3,Half Board,Suite,3,8239.0,Train,Online
B0140,Germany,Negombo,2024-03-01,4,Half Board,Suite,2,16489.0,Bus,Travel Agency
B0141,UK,Colombo,2024-08-15,3,Half Board,Deluxe,6,7303.0,Bus,Direct
B0142,  Australia  ,Kandy,2024-07-04,5,Breakfast,Budget,2,26460.0,Train,Travel Agency
B0143,India,Galle,2024-10-09,3,Room Only,Budget,3,7837.0,Taxi,Travel Agency
B0144,UK,Negombo,2024-11-24,3,Full Board,Suite,6,8027.0,Train,Agent
B0145,Germany,Negombo,2024-03-04,5,Breakfast,Deluxe,2,23309.0,Train,Direct
B0146,India,Colombo,2024-04-10,5,Half Board,Standard,6,24014.0,Flight,Agent
B0147,UK,Kandy,2024-11-05,4,Room Only,Budget,1,13636.0,Bus,Agent
B0148,China,Kandy,2024-11-17,5,Half Board,Deluxe,4,23724.0,Taxi,Direct
B0149,UK,Kandy,2024-08-25,3,Half Board,Standard,3,8578.0,Bus,Direct
B0150,  India  ,Kandy,2024-06-12,3,Full Board,Budget,3,7919.0,Train,Online
B0151,France,Kandy,2024-03-22,4,Half Board,Standard,7,13978.0,Taxi,Travel Agency
B0152,UK,Kandy ,2024-08-22,3,Breakfast,Deluxe,1,7280.0,Taxi,Travel Agency
B0153,UK,Colombo,2024-05-15,5,Half Board,Suite,3,22726.0,Flight,Agent
B0154,India,Kandy,2024-10-08,4,Room Only,Standard,1,14681.0,Bus,Direct
B0155,Germany,Kandy,2024-01-24,3,Breakfast,Deluxe,7,7957.0,Taxi,Agent
B0156,India,Kandy ,2024-03-24,4,Half Board,Deluxe,5,15984.0,Taxi,Direct
B0157,India,Colombo,2024-08-01,5,Half Board,Budget,5,24872.0,Train,Online
B0158,  China  ,Kandy,2024-07-13,3,Breakfast,Budget,5,8717.0,Flight,Agent
B0159,UK,Galle,2024-07-29,5,Full Board,Budget,6,23190.0,Train,Direct
B0160,India,Negombo,2024-08-23,5,Half Board,Deluxe,6,26359.0,Bus,Travel Agency
B0161,Germany,Colombo,2024-06-01,4,Breakfast,Suite,3,14939.0,Bus,Direct
B0162,India,Negombo,2024-06-25,3,Half Board,Budget,3,8728.0,Flight,Direct
B0163,  USA  ,Colombo,2024-10-02,4,Half Board,Standard,1,15347.0,Train,Agent
B0164,UK,Colombo,2024-02-21,4,Half Board,Suite,1,15543.0,Train,Online
B0165,UK,Galle,2024-08-31,4,Breakfast,Deluxe,3,14356.0,Flight,Online
B0166,USA,Negombo,2024-01-20,3,Full Board,Standard,1,8795.0,Taxi,Travel Agency
B0167,France,Colombo,2024-01-20,3,Half Board,Budget,3,7655.0,Taxi,Agent
B0168,UK,Colombo,2024-03-24,5,Full Board,Deluxe,6,23430.0,Bus,Direct
B0169,UK,Negombo,2024-07-26,4,Half Board,Budget,4,15507.0,Train,Agent
B0170,UK,Kandy,2024-08-16,4,Half Board,Deluxe,5,15668.0,Flight,Direct
B0171,UK,Colombo,2024-06-06,3,Full Board,Deluxe,6,7387.0,Bus,Direct
B0172,UK,Colombo,2024-11-06,4,Full Board,Suite,7,15112.0,Train,Agent
B0173,USA,Kandy,2024-09-27,5,Half Board,Budget,5,23061.0,Train,Agent
B0174,India,Galle ,2024-10-25,4,Room Only,Suite,7,13666.0,Train,Travel Agency
B0175,Germany,Galle,2024-01-12,4,Half Board,Budget,6,14153.0,Flight,Online
B0176,Germany,Colombo,2024-02-05,4,Room Only,Deluxe,4,14039.0,Train,Travel Agency
B0177,India,Negombo,2024-07-12,4,Room Only,Standard,6,16080.0,Flight,Agent
B0178,UK,Negombo,2024-01-02,3,Half Board,Suite,6,8350.0,Taxi,Travel Agency
B0179,India,Colombo,2024-02-27,3,Full Board,Budget,-2,-7529.0,Flight,Online
B0180,France,Colombo,2024-01-23,4,Full Board,Standard,5,14151.0,Flight,Agent
B0181,France,Galle ,2024-06-12,5,Half Board,Standard,3,26881.0,Train,Travel Agency
B0182,Australia,Negombo,2024-03-30,5,Full Board,Suite,1,27361.0,Taxi,Direct
B0183,India,Colombo,2024-10-02,4,Breakfast,Standard,3,16072.0,Train,Travel Agency
B0184,Russia,Kandy ,2024-03-09,4,Breakfast,Deluxe,2,14490.0,Flight,Travel Agency
B0185,USA,Colombo,2024-05-17,4,Room Only,Budget,2,15913.0,Train,Travel Agency
B0186,India,Negombo,2024-04-18,3,Room Only,Suite,2,8313.0,Train,Travel Agency
B0187,  USA  ,Kandy,2024-09-30,5,Half Board,Deluxe,3,24298.0,Taxi,Travel Agency
B0188,  Germany  ,Galle,2024-04-14,4,Half Board,Suite,1,15187.0,Train,Agent
B0189,Germany,Galle,2024-05-31,3,Breakfast,Deluxe,2,7807.0,Train,Travel Agency
B0190,India,Galle,2024-09-07,5,Full Board,Suite,2,26163.0,Bus,Agent
B0191,UK,Negombo,2024-11-24,3,Room Only,Budget,7,8269.0,Flight,Travel Agency
B0192,  UK  ,Colombo,2024-04-21,5,Full Board,Deluxe,-1,-25589.0,Taxi,Travel Agency
B0193,India,Colombo ,2024-05-20,5,Half Board,Budget,5,26565.0,Taxi,Agent
B0194,UK,Colombo,2024-09-26,4,Half Board,Deluxe,7,14690.0,Bus,Travel Agency
B0195,China,Colombo,2024-02-11,5,Room Only,Budget,4,24396.0,Taxi,Online
B0196,  UK  ,Galle ,2024-11-26,4,Room Only,Budget,2,14134.0,Taxi,Direct
B0197,Australia,Negombo,2024-10-15,5,Room Only,Standard,7,24072.0,Train,Agent
B0198,India,Colombo,2024-03-24,5,Breakfast,Suite,6,26982.0,Bus,Travel Agency
B0199,Russia,Galle,2024-09-13,5,Half Board,Budget,1,24685.0,Flight,Direct
B0200,Germany,Negombo,2024-06-16,3,Half Board,Suite,4,7565.0,Taxi,Travel Agency
B0201,India,Galle,2024-05-31,3,Room Only,Budget,3,7446.0,Train,Travel Agency
B0202,UK,Colombo ,2024-07-03,4,Room Only,Standard,1,14062.0,Taxi,Travel Agency
B0203,Germany,Kandy,2024-06-15,4,Room Only,Deluxe,4,14663.0,Flight,Agent
B0204,India,Colombo,2024-06-03,4,Full Board,Standard,1,14001.0,Bus,Travel Agency
B0205,India,Negombo,2024-11-16,4,Breakfast,Suite,1,13906.0,Flight,Travel Agency
B0206,France,Colombo,2024-06-20,4,Breakfast,Deluxe,3,15309.0,Train,Travel Agency
B0207,Russia,Colombo,2024-12-21,5,Full Board,Standard,3,24380.0,Taxi,Direct
B0208,Germany,Kandy,2024-12-15,5,Room Only,Suite,6,23548.0,Bus,Online
B0209,  India  ,Kandy,2024-11-20,4,Breakfast,Deluxe,6,13962.0,Taxi,Travel Agency
B0210,Germany,Kandy,2024-09-16,5,Full Board,Budget,7,,Flight,Online
B0211,India,Kandy,2024-01-23,5,Full Board,Deluxe,7,24652.0,Flight,Online
B0212,Germany,Kandy,2024-10-21,3,Full Board,Deluxe,4,7940.0,Train,Direct
B0213,India,Negombo ,2024-02-13,3,Breakfast,Deluxe,3,7748.0,Train,Travel Agency
B0214,USA,Kandy,2024-02-04,4,Room Only,Budget,1,16047.0,Flight,Agent
B0215,Germany,Kandy,2024-06-18,5,Full Board,Suite,2,26488.0,Train,Agent
B0216,UK,Kandy,2024-04-11,4,Full Board,Suite,1,15614.0,Train,Direct
B0217,UK,Colombo,2024-10-01,3,Half Board,Deluxe,2,7932.0,Bus,Travel Agency
B0218,Germany,Kandy,2024-10-27,3,Half Board,Deluxe,7,7932.0,Train,Direct
B0219,China,Colombo,2024-05-02,4,Room Only,Standard,3,15580.0,Taxi,Travel Agency
B0220,India,Kandy,2024-10-02,5,Breakfast,Standard,4,23944.0,Train,Direct
B0221,France,Negombo,2024-09-05,3,Breakfast,Suite,5,8008.0,Taxi,Travel Agency
B0222,France,Kandy,2024-02-12,5,Room Only,Standard,3,22663.0,Train,Direct
B0223,USA,Galle,2024-10-08,5,Room Only,Budget,3,26375.0,Bus,Online
B0224,UK,Kandy,2024-11-30,3,Half Board,Budget,4,7620.0,Flight,Travel Agency
B0225,France,Colombo,2024-10-28,5,Half Board,Suite,2,25580.0,Train,Agent
B0226,Germany,Kandy,2024-03-27,4,Half Board,Deluxe,5,14302.0,Flight,Agent
B0227,Australia,Negombo,2024-12-01,3,Breakfast,Standard,2,8338.0,Train,Travel Agency
B0228,India,Kandy,2024-08-19,3,Room Only,Suite,5,8399.0,Bus,Travel Agency
B0229,UK,Galle,2024-02-17,5,Full Board,Deluxe,7,,Taxi,Agent
B0230,  Germany  ,Colombo,2024-05-25,4,Breakfast,Suite,7,14531.0,Flight,Online
B0231,Germany,Colombo,2024-03-21,4,Full Board,Budget,4,14106.0,Train,Direct
B0232,India,Galle ,2024-05-08,3,Half Board,Standard,1,7834.0,Bus,Agent
B0233,UK,Colombo,2024-02-09,3,Breakfast,Suite,1,7212.0,Bus,Online
B0234,UK,Colombo,2024-07-15,3,Room Only,Budget,3,7788.0,Bus,Agent
B0235,France,Kandy,2024-12-12,3,Room Only,Budget,5,8240.0,Taxi,Direct
B0236,UK,Kandy,2024-12-17,4,Breakfast,Budget,1,13920.0,Flight,Travel Agency
B0237,USA,Colombo,2024-11-26,3,Breakfast,Deluxe,7,8706.0,Flight,Direct
B0238,UK,Kandy,2024-11-26,3,Breakfast,Suite,4,7380.0,Taxi,Online
B0239,  Russia  ,Negombo ,2024-03-08,4,Full Board,Deluxe,5,15548.0,Taxi,Online
B0240,India,Colombo,2024-01-31,4,Half Board,Suite,4,15605.0,Flight,Agent
B0241,Germany,Colombo,2024-03-20,5,Half Board,Suite,5,25671.0,Flight,Direct
B0242,France,Colombo,2024-02-14,4,Room Only,Suite,5,15326.0,Bus,Agent
B0243,USA,Colombo ,2024-06-26,5,Half Board,Standard,3,23134.0,Bus,Online
B0244,France,Colombo,2024-02-02,4,Room Only,Suite,4,15032.0,Flight,Travel Agency
B0245,UK,Galle,2024-10-20,5,Room Only,Standard,6,25044.0,Flight,Online
B0246,India,Colombo,2024-01-19,5,Full Board,Standard,3,23741.0,Bus,Direct
B0247,UK,Galle,2024-01-27,3,Breakfast,Budget,4,7310.0,Taxi,Direct
B0248,UK,Kandy,2024-07-07,3,Half Board,Deluxe,6,8196.0,Taxi,Direct
B0249,USA,Colombo ,2024-10-06,3,Breakfast,Budget,4,7238.0,Bus,Online
B0250,China,Galle ,2024-06-06,3,Breakfast,Standard,4,7987.0,Flight,Agent
B0251,Australia,Negombo,2024-09-23,4,Half Board,Suite,6,13754.0,Flight,Agent
B0252,Germany,Colombo,2024-12-05,3,Breakfast,Deluxe,3,8561.0,Taxi,Direct
B0253,UK,Colombo,2024-10-26,3,Breakfast,Budget,2,7919.0,Bus,Travel Agency
B0254,USA,Kandy,2024-08-25,4,Room Only,Budget,2,15922.0,Bus,Online
B0255,UK,Galle,2024-07-01,4,Room Only,Deluxe,3,15960.0,Train,Online
B0256,Germany,Kandy,2024-02-18,4,Room Only,Standard,1,13535.0,Train,Agent
B0257,China,Negombo ,2024-02-13,5,Half Board,Budget,1,27485.0,Train,Travel Agency
B0258,France,Galle,2024-03-03,3,Full Board,Budget,2,8678.0,Taxi,Travel Agency
B0259,India,Kandy,2024-04-05,4,Half Board,Suite,2,13603.0,Train,Direct
B0260,Germany,Colombo,2024-07-15,3,Full Board,Standard,6,8615.0,Train,Online
B0261,  India  ,Kandy,2024-09-05,4,Half Board,Suite,3,14039.0,Bus,Agent
B0262,India,Galle,2024-08-29,5,Half Board,Standard,2,23000.0,Train,Direct
B0263,USA,Galle,2024-04-22,5,Full Board,Deluxe,7,27457.0,Train,Agent
B0264,USA,Kandy ,2024-10-29,3,Half Board,Standard,5,8717.0,Taxi,Direct
B0265,UK,Kandy,2024-01-11,5,Full Board,Budget,3,27089.0,Train,Agent
B0266,France,Negombo,2024-01-31,3,Breakfast,Standard,7,7377.0,Bus,Online
B0267,India,Colombo,2024-06-03,4,Breakfast,Standard,6,16346.0,Taxi,Direct
B0268,China,Negombo ,2024-07-01,3,Breakfast,Suite,3,8374.0,Bus,Agent
B0269,USA,Kandy,2024-10-17,3,Breakfast,Deluxe,7,8748.0,Train,Online
B0270,USA,Colombo,2024-06-12,3,Room Only,Deluxe,4,7218.0,Train,Agent
B0271,USA,Galle,2024-01-25,4,Full Board,Suite,2,16153.0,Taxi,Travel Agency
B0272,  France  ,Galle,2024-10-22,5,Breakfast,Standard,4,22868.0,Flight,Direct
B0273,UK,Colombo,2024-07-11,3,Room Only,Budget,3,8150.0,Taxi,Online
B0274,China,Kandy ,2024-01-28,3,Half Board,Standard,2,7854.0,Bus,Direct
B0275,India,Kandy ,2024-09-08,3,Room Only,Deluxe,1,7884.0,Bus,Travel Agency
B0276,  UK  ,Colombo,2024-02-11,4,Room Only,Deluxe,7,14692.0,Taxi,Direct
B0277,UK,Negombo,2024-07-08,3,Full Board,Budget,3,7903.0,Bus,Agent
B0278,UK,Galle,2024-02-19,3,Half Board,Suite,7,8143.0,Flight,Travel Agency
B0279,Germany,Negombo,2024-08-31,5,Breakfast,Suite,3,22894.0,Flight,Agent
B0280,UK,Negombo,2024-04-18,3,Breakfast,Budget,4,7325.0,Taxi,Agent
B0281,France,Colombo ,2024-02-04,3,Full Board,Suite,5,7721.0,Bus,Travel Agency
B0282,USA,Kandy,2024-08-02,3,Full Board,Standard,2,8106.0,Flight,Online
B0283,India,Kandy,2024-06-25,4,Half Board,Suite,6,14956.0,Taxi,Online
B0284,China,Galle ,2024-07-24,3,Full Board,Deluxe,6,7580.0,Taxi,Direct
B0285,France,Colombo,2024-05-23,4,Room Only,Standard,2,14401.0,Taxi,Direct
B0286,China,Colombo,2024-04-18,4,Full Board,Deluxe,7,,Train,Online
B0287,  UK  ,Negombo ,2024-10-18,3,Breakfast,Standard,7,7521.0,Flight,Agent
B0288,India,Colombo,2024-07-07,4,Full Board,Budget,6,13591.0,Bus,Travel Agency
B0289,  France  ,Kandy ,2024-06-28,4,Breakfast,Deluxe,6,15992.0,Flight,Direct
B0290,France,Galle,2024-04-19,3,Breakfast,Standard,3,8242.0,Flight,Online
B0291,UK,Galle,2024-04-24,4,Half Board,Deluxe,4,16186.0,Bus,Travel Agency
B0292,China,Galle,2024-07-22,5,Room Only,Budget,5,27497.0,Bus,Direct
B0293,UK,Negombo,2024-11-23,4,Half Board,Deluxe,6,15633.0,Bus,Agent
B0294,Australia,Galle,2024-11-03,4,Half Board,Standard,6,13576.0,Taxi,Direct
B0295,India,Colombo,2024-12-28,5,Breakfast,Deluxe,6,26066.0,Taxi,Direct
B0296,France,Negombo,2024-04-02,4,Room Only,Suite,2,15722.0,Train,Direct
B0297,  UK  ,Negombo,2024-08-03,4,Half Board,Deluxe,5,14382.0,Flight,Travel Agency
B0298,Germany,Kandy,2024-08-29,3,Room Only,Suite,5,7677.0,Flight,Agent
