booking_id,tourist_country,hotel_city,arrival_date,hotel_stars,meal_plan,room_type,nights,price_per_night,transport_type,booking_channel,month,day_of_week,quarter,total_cost,spend_category
B0015,India,Kandy,2024-05-22,5,Full Board,Standard,5,23161.0,Taxi,Agent,5,Wednesday,2,115805.0,High Spender
B0016,  UK  ,Colombo,2024-08-08,4,Full Board,Suite,4,16091.0,Flight,Online,8,Thursday,3,64364.0,High Spender
B0017,France,Colombo ,2024-04-08,3,Full Board,Standard,4,7493.0,Taxi,Agent,4,Monday,2,29972.0,Medium Spender
B0018,France,Negombo,2024-02-20,3,Room Only,Budget,7,8557.0,Train,Travel Agency,2,Tuesday,1,59899.0,High Spender
B0019,India,Colombo,2024-07-13,3,Full Board,Deluxe,7,8456.0,Bus,Travel Agency,7,Saturday,3,59192.0,High Spender
B0020,  USA  ,Galle,2024-09-06,3,Breakfast,Deluxe,2,8749.0,Flight,Direct,9,Friday,3,17498.0,Low Spender
B0021,Germany,Negombo,2024-03-21,3,Room Only,Standard,1,8152.0,Train,Travel Agency,3,Thursday,1,8152.0,Low Spender
B0022,UK,Kandy,2024-11-13,3,Full Board,Deluxe,3,7526.0,Bus,Agent,11,Wednesday,4,22578.0,Medium Spender
B0023,China,Kandy,2024-02-07,3,Full Board,Budget,1,8060.0,Bus,Agent,2,Wednesday,1,8060.0,Low Spender
B0024,France,Kandy,2024-03-21,4,Half Board,Budget,6,15951.0,Bus,Online,3,Thursday,1,95706.0,High Spender
B0025,UK,Colombo,2024-10-10,3,Half Board,Deluxe,5,7537.0,Bus,Agent,10,Thursday,4,37685.0,Medium Spender
B0026,Germany,Colombo,2024-01-27,3,Full Board,Deluxe,1,7205.0,Train,Direct,1,Saturday,1,7205.0,Low Spender
B0027,USA,Kandy,2024-02-27,3,Breakfast,Budget,7,7790.0,Train,Travel Agency,2,Tuesday,1,54530.0,High Spender
B0028,Australia,Galle,2024-01-21,4,Breakfast,Standard,6,13808.0,Taxi,Agent,1,Sunday,1,82848.0,High Spender
B0029,UK,Galle,2024-03-31,4,Room Only,Standard,6,16273.0,Taxi,Agent,3,Sunday,1,97638.0,High Spender
B0030,  UK  ,Negombo,2024-08-28,3,Breakfast,Suite,3,7688.0,Train,Agent,8,Wednesday,3,23064.0,Medium Spender
B0031,India,Negombo,2024-05-22,4,Full Board,Deluxe,1,13846.0,Bus,Agent,5,Wednesday,2,13846.0,Low Spender
B0032,UK,Kandy,2024-06-25,5,Half Board,Suite,5,27421.0,Flight,Travel Agency,6,Tuesday,2,137105.0,High Spender
B0033,UK,Kandy,2024-09-23,5,Breakfast,Deluxe,4,22849.0,Bus,Direct,9,Monday,3,91396.0,High Spender
B0034,Australia,Kandy,2024-12-07,4,Half Board,Suite,6,14386.0,Train,Agent,12,Saturday,4,86316.0,High Spender
B0035,China,Negombo,2024-11-11,5,Half Board,Suite,5,26668.0,Bus,Direct,11,Monday,4,133340.0,High Spender
B0036,China,Colombo,2024-08-14,4,Breakfast,Suite,7,16203.0,Train,Online,8,Wednesday,3,113421.0,High Spender
B0037,China,Colombo,2024-04-30,5,Half Board,Standard,7,23495.0,Flight,Online,4,Tuesday,2,164465.0,High Spender
B0038,France,Colombo,2024-07-31,5,Breakfast,Suite,4,24498.0,Train,Online,7,Wednesday,3,97992.0,High Spender
B0039,Australia,Galle,2024-04-22,3,Full Board,Budget,5,7598.0,Flight,Travel Agency,4,Monday,2,37990.0,Medium Spender
B0040,Germany,Kandy,2024-06-11,4,Full Board,Suite,2,15730.0,Taxi,Travel Agency,6,Tuesday,2,31460.0,Medium Spender
B0041,China,Galle,2024-09-23,4,Breakfast,Deluxe,4,13732.0,Bus,Agent,9,Monday,3,54928.0,High Spender
B0042,Germany,Colombo,2024-04-28,4,Breakfast,Standard,1,14744.0,Bus,Travel Agency,4,Sunday,2,14744.0,Low Spender
B0043,India,Negombo,2024-10-26,5,Room Only,Suite,4,22529.0,Bus,Direct,10,Saturday,4,90116.0,High Spender
B0044,Russia,Kandy,2024-10-06,5,Breakfast,Suite,2,23864.0,Taxi,Online,10,Sunday,4,47728.0,Medium Spender
B0045,USA,Galle,2024-08-27,3,Room Only,Suite,5,8103.0,Flight,Online,8,Tuesday,3,40515.0,Medium Spender
B0046,Germany,Colombo,2024-07-13,4,Breakfast,Suite,3,14512.0,Taxi,Direct,7,Saturday,3,43536.0,Medium Spender
B0047,India,Colombo,2024-01-10,5,Room Only,Deluxe,2,25750.0,Flight,Online,1,Wednesday,1,51500.0,High Spender
B0048,UK,Colombo,2024-03-05,4,Room Only,Standard,4,15598.0,Bus,Agent,3,Tuesday,1,62392.0,High Spender
B0049,USA,Galle,2024-03-24,4,Room Only,Budget,3,15227.0,Taxi,Travel Agency,3,Sunday,1,45681.0,Medium Spender
B0050,Germany,Galle,2024-05-04,3,Half Board,Budget,7,8774.0,Flight,Direct,5,Saturday,2,61418.0,High Spender
B0051,UK,Kandy,2024-01-07,4,Full Board,Budget,4,16382.0,Taxi,Agent,1,Sunday,1,65528.0,High Spender
B0053,UK,Negombo,2024-05-04,4,Full Board,Deluxe,1,14982.0,Bus,Agent,5,Saturday,2,14982.0,Low Spender
B0054,India,Colombo,2024-11-01,5,Half Board,Budget,5,27240.0,Flight,Agent,11,Friday,4,136200.0,High Spender
B0055,USA,Galle,2024-11-26,5,Full Board,Suite,7,22586.0,Bus,Agent,11,Tuesday,4,158102.0,High Spender
B0056,China,Kandy,2024-10-10,5,Half Board,Suite,6,25251.0,Bus,Travel Agency,10,Thursday,4,151506.0,High Spender
B0057,UK,Colombo,2024-03-02,5,Breakfast,Standard,2,26193.0,Bus,Direct,3,Saturday,1,52386.0,High Spender
B0058,India,Kandy,2024-06-03,3,Breakfast,Deluxe,1,8758.0,Bus,Agent,6,Monday,2,8758.0,Low Spender
B0059,UK,Colombo,2024-05-25,4,Full Board,Suite,3,14053.0,Flight,Direct,5,Saturday,2,42159.0,Medium Spender
B0060,France,Kandy,2024-02-07,5,Room Only,Standard,2,26555.0,Bus,Online,2,Wednesday,1,53110.0,High Spender
B0061,USA,Kandy ,2024-11-12,3,Full Board,Suite,4,7675.0,Taxi,Direct,11,Tuesday,4,30700.0,Medium Spender
B0063,India,Galle,2024-08-28,4,Room Only,Standard,3,15620.0,Taxi,Online,8,Wednesday,3,46860.0,Medium Spender
B0064,USA,Kandy ,2024-12-04,3,Full Board,Budget,5,7559.0,Train,Direct,12,Wednesday,4,37795.0,Medium Spender
B0065,UK,Colombo,2024-10-18,4,Full Board,Budget,4,15566.0,Taxi,Direct,10,Friday,4,62264.0,High Spender
B0067,UK,Kandy,2024-08-14,4,Breakfast,Suite,6,15942.0,Flight,Travel Agency,8,Wednesday,3,95652.0,High Spender
B0068,  China  ,Negombo,2024-06-17,4,Full Board,Deluxe,6,16335.0,Flight,Travel Agency,6,Monday,2,98010.0,High Spender
B0069,UK,Galle,2024-09-20,3,Full Board,Suite,1,7500.0,Bus,Travel Agency,9,Friday,3,7500.0,Low Spender
B0070,UK,Kandy ,2024-05-27,4,Full Board,Budget,1,16419.0,Train,Agent,5,Monday,2,16419.0,Low Spender
B0071,India,Colombo,2024-02-28,4,Room Only,Standard,4,16297.0,Bus,Direct,2,Wednesday,1,65188.0,High Spender
B0072,Germany,Kandy,2024-03-15,4,Breakfast,Standard,7,13709.0,Taxi,Direct,3,Friday,1,95963.0,High Spender
B0073,France,Colombo,2024-06-01,5,Full Board,Standard,4,25192.0,Bus,Direct,6,Saturday,2,100768.0,High Spender
B0074,Germany,Colombo,2024-04-06,5,Breakfast,Suite,2,26780.0,Taxi,Online,4,Saturday,2,53560.0,High Spender
B0075,Australia,Kandy,2024-12-05,5,Breakfast,Suite,1,23131.0,Bus,Online,12,Thursday,4,23131.0,Medium Spender
B0076,Germany,Kandy,2024-03-14,4,Breakfast,Budget,4,15844.0,Bus,Direct,3,Thursday,1,63376.0,High Spender
B0077,UK,Colombo,2024-12-11,5,Full Board,Deluxe,6,26093.0,Taxi,Online,12,Wednesday,4,156558.0,High Spender
B0078,China,Colombo,2024-04-26,5,Room Only,Suite,1,26301.0,Flight,Travel Agency,4,Friday,2,26301.0,Medium Spender
B0079,UK,Colombo ,2024-01-29,4,Half Board,Deluxe,4,13936.0,Taxi,Agent,1,Monday,1,55744.0,High Spender
B0080,France,Kandy,2024-05-03,4,Breakfast,Standard,4,15413.0,Taxi,Direct,5,Friday,2,61652.0,High Spender
B0081,Germany,Colombo,2024-10-06,3,Room Only,Suite,3,8780.0,Bus,Travel Agency,10,Sunday,4,26340.0,Medium Spender
B0082,  India  ,Negombo,2024-09-04,3,Breakfast,Suite,5,7774.0,Bus,Direct,9,Wednesday,3,38870.0,Medium Spender
B0083,India,Colombo,2024-12-17,5,Room Only,Suite,7,27020.0,Bus,Agent,12,Tuesday,4,189140.0,High Spender
B0084,  China  ,Kandy,2024-12-13,5,Breakfast,Budget,6,25731.0,Bus,Travel Agency,12,Friday,4,154386.0,High Spender
B0085,UK,Negombo,2024-06-16,5,Full Board,Standard,2,23160.0,Bus,Direct,6,Sunday,2,46320.0,Medium Spender
B0086,France,Kandy,2024-05-31,5,Half Board,Budget,4,27314.0,Train,Agent,5,Friday,2,109256.0,High Spender
B0087,Russia,Negombo,2024-10-12,4,Room Only,Suite,1,14293.0,Flight,Travel Agency,10,Saturday,4,14293.0,Low Spender
B0088,India,Kandy,2024-11-22,4,Room Only,Standard,4,13575.0,Bus,Agent,11,Friday,4,54300.0,High Spender
B0089,Germany,Galle,2024-11-28,4,Room Only,Standard,1,16338.0,Bus,Travel Agency,11,Thursday,4,16338.0,Low Spender
B0090,Germany,Kandy,2024-07-08,5,Full Board,Standard,4,25774.0,Taxi,Travel Agency,7,Monday,3,103096.0,High Spender
B0091,China,Colombo,2024-08-15,3,Half Board,Budget,6,7787.0,Bus,Online,8,Thursday,3,46722.0,Medium Spender
B0092,UK,Galle,2024-08-20,3,Breakfast,Budget,1,8458.0,Train,Agent,8,Tuesday,3,8458.0,Low Spender
B0093,France,Kandy,2024-10-27,3,Breakfast,Deluxe,7,7436.0,Flight,Direct,10,Sunday,4,52052.0,High Spender
B0094,  UK  ,Colombo,2024-03-30,3,Room Only,Standard,1,7773.0,Train,Direct,3,Saturday,1,7773.0,Low Spender
B0095,UK,Kandy,2024-02-28,5,Room Only,Suite,4,26390.0,Flight,Travel Agency,2,Wednesday,1,105560.0,High Spender
B0096,UK,Galle,2024-12-03,5,Half Board,Suite,6,27320.0,Flight,Travel Agency,12,Tuesday,4,163920.0,High Spender
B0097,UK,Galle,2024-08-15,3,Room Only,Deluxe,5,7437.0,Train,Direct,8,Thursday,3,37185.0,Medium Spender
B0098,USA,Kandy,2024-11-01,5,Half Board,Suite,5,25527.0,Flight,Online,11,Friday,4,127635.0,High Spender
B0099,USA,Galle ,2024-04-20,4,Full Board,Standard,4,14516.0,Taxi,Travel Agency,4,Saturday,2,58064.0,High Spender
B0100,  India  ,Galle,2024-07-10,3,Full Board,Budget,1,8530.0,Flight,Travel Agency,7,Wednesday,3,8530.0,Low Spender
B0101,France,Kandy,2024-10-27,5,Half Board,Budget,4,24267.0,Taxi,Online,10,Sunday,4,97068.0,High Spender
B0102,India,Kandy,2024-04-18,3,Full Board,Standard,7,7373.0,Bus,Online,4,Thursday,2,51611.0,High Spender
B0103,France,Galle,2024-11-14,5,Room Only,Deluxe,1,23402.0,Bus,Direct,11,Thursday,4,23402.0,Medium Spender
B0104,UK,Galle,2024-02-05,3,Room Only,Budget,6,8048.0,Taxi,Travel Agency,2,Monday,1,48288.0,Medium Spender
B0105,India,Colombo,2024-10-17,5,Room Only,Budget,2,23287.0,Flight,Online,10,Thursday,4,46574.0,Medium Spender
B0106,  Germany  ,Kandy,2024-05-19,3,Room Only,Deluxe,4,7377.0,Taxi,Direct,5,Sunday,2,29508.0,Medium Spender
B0107,Germany,Colombo,2024-06-03,3,Breakfast,Deluxe,3,7724.0,Flight,Travel Agency,6,Monday,2,23172.0,Medium Spender
B0108,  India  ,Galle,2024-09-13,5,Half Board,Budget,4,26808.0,Flight,Travel Agency,9,Friday,3,107232.0,High Spender
B0109,France,Kandy,2024-10-20,4,Full Board,Deluxe,1,14715.0,Bus,Agent,10,Sunday,4,14715.0,Low Spender
B0110,France,Negombo,2024-02-15,4,Room Only,Standard,4,15266.0,Flight,Travel Agency,2,Thursday,1,61064.0,High Spender
B0111,UK,Galle,2024-02-09,5,Room Only,Standard,7,24246.0,Train,Agent,2,Friday,1,169722.0,High Spender
B0112,UK,Colombo,2024-12-01,3,Breakfast,Suite,4,8407.0,Taxi,Direct,12,Sunday,4,33628.0,Medium Spender
B0113,UK,Colombo ,2024-08-14,5,Half Board,Deluxe,5,22780.0,Flight,Direct,8,Wednesday,3,113900.0,High Spender
B0114,India,Colombo,2024-11-26,3,Full Board,Suite,5,8086.0,Flight,Travel Agency,11,Tuesday,4,40430.0,Medium Spender
B0115,UK,Kandy,2024-09-13,3,Room Only,Suite,1,8497.0,Bus,Online,9,Friday,3,8497.0,Low Spender
B0116,UK,Kandy,2024-08-12,5,Breakfast,Deluxe,3,27089.0,Taxi,Travel Agency,8,Monday,3,81267.0,High Spender
B0117,UK,Kandy,2024-06-20,3,Half Board,Budget,5,8285.0,Bus,Direct,6,Thursday,2,41425.0,Medium Spender
B0118,Australia,Negombo,2024-06-19,3,Breakfast,Deluxe,3,8748.0,Taxi,Agent,6,Wednesday,2,26244.0,Medium Spender
B0119,India,Kandy,2024-06-17,3,Room Only,Suite,5,7778.0,Bus,Direct,6,Monday,2,38890.0,Medium Spender
B0120,Australia,Kandy,2024-04-25,3,Breakfast,Budget,3,8551.0,Flight,Online,4,Thursday,2,25653.0,Medium Spender
B0121,China,Kandy,2024-03-19,3,Breakfast,Standard,6,7900.0,Taxi,Direct,3,Tuesday,1,47400.0,Medium Spender
B0122,India,Colombo,2024-08-17,3,Breakfast,Deluxe,7,8454.0,Train,Direct,8,Saturday,3,59178.0,High Spender
B0123,  India  ,Galle,2024-07-14,5,Full Board,Standard,7,23498.0,Train,Direct,7,Sunday,3,164486.0,High Spender
B0124,India,Negombo,2024-12-30,5,Room Only,Deluxe,1,26315.0,Bus,Travel Agency,12,Monday,4,26315.0,Medium Spender
B0125,India,Negombo ,2024-04-23,4,Half Board,Budget,4,13659.0,Bus,Agent,4,Tuesday,2,54636.0,High Spender
B0126,UK,Colombo,2024-02-20,5,Half Board,Standard,2,22691.0,Taxi,Agent,2,Tuesday,1,45382.0,Medium Spender
B0127,China,Negombo,2024-01-10,4,Breakfast,Standard,5,16320.0,Taxi,Online,1,Wednesday,1,81600.0,High Spender
B0128,UK,Colombo,2024-11-23,5,Full Board,Budget,1,26683.0,Taxi,Online,11,Saturday,4,26683.0,Medium Spender
B0129,  USA  ,Colombo,2024-01-01,5,Half Board,Standard,5,24582.0,Flight,Direct,1,Monday,1,122910.0,High Spender
B0130,Germany,Negombo,2024-10-10,3,Full Board,Suite,1,8217.0,Bus,Direct,10,Thursday,4,8217.0,Low Spender
B0131,UK,Colombo,2024-12-02,5,Room Only,Deluxe,2,22721.0,Bus,Agent,12,Monday,4,45442.0,Medium Spender
B0132,Russia,Kandy,2024-04-03,3,Room Only,Suite,1,7669.0,Flight,Agent,4,Wednesday,2,7669.0,Low Spender
B0133,India,Kandy ,2024-10-05,4,Half Board,Budget,7,15440.0,Bus,Direct,10,Saturday,4,108080.0,High Spender
B0134,China,Colombo,2024-07-07,4,Full Board,Suite,4,14517.0,Train,Travel Agency,7,Sunday,3,58068.0,High Spender
B0135,USA,Colombo ,2024-02-12,5,Full Board,Budget,4,25512.0,Train,Direct,2,Monday,1,102048.0,High Spender
B0136,China,Colombo,2024-11-04,5,Full Board,Standard,6,24719.0,Taxi,Online,11,Monday,4,148314.0,High Spender
B0137,China,Kandy,2024-11-23,3,Room Only,Suite,3,8020.0,Train,Online,11,Saturday,4,24060.0,Medium Spender
B0138,USA,Colombo,2024-02-04,3,Half Board,Deluxe,4,8719.0,Flight,Agent,2,Sunday,1,34876.0,Medium Spender
B0139,  India  ,Galle,2024-10-20,3,Half Board,Suite,3,8239.0,Train,Online,10,Sunday,4,24717.0,Medium Spender
B0140,Germany,Negombo,2024-03-01,4,Half Board,Suite,2,16489.0,Bus,Travel Agency,3,Friday,1,32978.0,Medium Spender
B0141,UK,Colombo,2024-08-15,3,Half Board,Deluxe,6,7303.0,Bus,Direct,8,Thursday,3,43818.0,Medium Spender
B0142,  Australia  ,Kandy,2024-07-04,5,Breakfast,Budget,2,26460.0,Train,Travel Agency,7,Thursday,3,52920.0,High Spender
B0143,India,Galle,2024-10-09,3,Room Only,Budget,3,7837.0,Taxi,Travel Agency,10,Wednesday,4,23511.0,Medium Spender
B0144,UK,Negombo,2024-11-24,3,Full Board,Suite,6,8027.0,Train,Agent,11,Sunday,4,48162.0,Medium Spender
B0145,Germany,Negombo,2024-03-04,5,Breakfast,Deluxe,2,23309.0,Train,Direct,3,Monday,1,46618.0,Medium Spender
B0146,India,Colombo,2024-04-10,5,Half Board,Standard,6,24014.0,Flight,Agent,4,Wednesday,2,144084.0,High Spender
B0147,UK,Kandy,2024-11-05,4,Room Only,Budget,1,13636.0,Bus,Agent,11,Tuesday,4,13636.0,Low Spender
B0148,China,Kandy,2024-11-17,5,Half Board,Deluxe,4,23724.0,Taxi,Direct,11,Sunday,4,94896.0,High Spender
B0149,UK,Kandy,2024-08-25,3,Half Board,Standard,3,8578.0,Bus,Direct,8,Sunday,3,25734.0,Medium Spender
B0150,  India  ,Kandy,2024-06-12,3,Full Board,Budget,3,7919.0,Train,Online,6,Wednesday,2,23757.0,Medium Spender
B0151,France,Kandy,2024-03-22,4,Half Board,Standard,7,13978.0,Taxi,Travel Agency,3,Friday,1,97846.0,High Spender
B0152,UK,Kandy ,2024-08-22,3,Breakfast,Deluxe,1,7280.0,Taxi,Travel Agency,8,Thursday,3,7280.0,Low Spender
B0153,UK,Colombo,2024-05-15,5,Half Board,Suite,3,22726.0,Flight,Agent,5,Wednesday,2,68178.0,High Spender
B0154,India,Kandy,2024-10-08,4,Room Only,Standard,1,14681.0,Bus,Direct,10,Tuesday,4,14681.0,Low Spender
B0155,Germany,Kandy,2024-01-24,3,Breakfast,Deluxe,7,7957.0,Taxi,Agent,1,Wednesday,1,55699.0,High Spender
B0156,India,Kandy ,2024-03-24,4,Half Board,Deluxe,5,15984.0,Taxi,Direct,3,Sunday,1,79920.0,High Spender
B0157,India,Colombo,2024-08-01,5,Half Board,Budget,5,24872.0,Train,Online,8,Thursday,3,124360.0,High Spender
B0158,  China  ,Kandy,2024-07-13,3,Breakfast,Budget,5,8717.0,Flight,Agent,7,Saturday,3,43585.0,Medium Spender
B0159,UK,Galle,2024-07-29,5,Full Board,Budget,6,23190.0,Train,Direct,7,Monday,3,139140.0,High Spender
B0160,India,Negombo,2024-08-23,5,Half Board,Deluxe,6,26359.0,Bus,Travel Agency,8,Friday,3,158154.0,High Spender
B0161,Germany,Colombo,2024-06-01,4,Breakfast,Suite,3,14939.0,Bus,Direct,6,Saturday,2,44817.0,Medium Spender
B0162,India,Negombo,2024-06-25,3,Half Board,Budget,3,8728.0,Flight,Direct,6,Tuesday,2,26184.0,Medium Spender
B0163,  USA  ,Colombo,2024-10-02,4,Half Board,Standard,1,15347.0,Train,Agent,10,Wednesday,4,15347.0,Low Spender
B0164,UK,Colombo,2024-02-21,4,Half Board,Suite,1,15543.0,Train,Online,2,Wednesday,1,15543.0,Low Spender
B0165,UK,Galle,2024-08-31,4,Breakfast,Deluxe,3,14356.0,Flight,Online,8,Saturday,3,43068.0,Medium Spender
B0166,USA,Negombo,2024-01-20,3,Full Board,Standard,1,8795.0,Taxi,Travel Agency,1,Saturday,1,8795.0,Low Spender
B0167,France,Colombo,2024-01-20,3,Half Board,Budget,3,7655.0,Taxi,Agent,1,Saturday,1,22965.0,Medium Spender
B0168,UK,Colombo,2024-03-24,5,Full Board,Deluxe,6,23430.0,Bus,Direct,3,Sunday,1,140580.0,High Spender
B0169,UK,Negombo,2024-07-26,4,Half Board,Budget,4,15507.0,Train,Agent,7,Friday,3,62028.0,High Spender
B0170,UK,Kandy,2024-08-16,4,Half Board,Deluxe,5,15668.0,Flight,Direct,8,Friday,3,78340.0,High Spender
B0171,UK,Colombo,2024-06-06,3,Full Board,Deluxe,6,7387.0,Bus,Direct,6,Thursday,2,44322.0,Medium Spender
B0172,UK,Colombo,2024-11-06,4,Full Board,Suite,7,15112.0,Train,Agent,11,Wednesday,4,105784.0,High Spender
B0173,USA,Kandy,2024-09-27,5,Half Board,Budget,5,23061.0,Train,Agent,9,Friday,3,115305.0,High Spender
B0174,India,Galle ,2024-10-25,4,Room Only,Suite,7,13666.0,Train,Travel Agency,10,Friday,4,95662.0,High Spender
B0175,Germany,Galle,2024-01-12,4,Half Board,Budget,6,14153.0,Flight,Online,1,Friday,1,84918.0,High Spender
B0176,Germany,Colombo,2024-02-05,4,Room Only,Deluxe,4,14039.0,Train,Travel Agency,2,Monday,1,56156.0,High Spender
B0177,India,Negombo,2024-07-12,4,Room Only,Standard,6,16080.0,Flight,Agent,7,Friday,3,96480.0,High Spender
B0178,UK,Negombo,2024-01-02,3,Half Board,Suite,6,8350.0,Taxi,Travel Agency,1,Tuesday,1,50100.0,High Spender
B0180,France,Colombo,2024-01-23,4,Full Board,Standard,5,14151.0,Flight,Agent,1,Tuesday,1,70755.0,High Spender
B0181,France,Galle ,2024-06-12,5,Half Board,Standard,3,26881.0,Train,Travel Agency,6,Wednesday,2,80643.0,High Spender
B0182,Australia,Negombo,2024-03-30,5,Full Board,Suite,1,27361.0,Taxi,Direct,3,Saturday,1,27361.0,Medium Spender
B0183,India,Colombo,2024-10-02,4,Breakfast,Standard,3,16072.0,Train,Travel Agency,10,Wednesday,4,48216.0,Medium Spender
B0184,Russia,Kandy ,2024-03-09,4,Breakfast,Deluxe,2,14490.0,Flight,Travel Agency,3,Saturday,1,28980.0,Medium Spender
B0185,USA,Colombo,2024-05-17,4,Room Only,Budget,2,15913.0,Train,Travel Agency,5,Friday,2,31826.0,Medium Spender
B0186,India,Negombo,2024-04-18,3,Room Only,Suite,2,8313.0,Train,Travel Agency,4,Thursday,2,16626.0,Low Spender
B0187,  USA  ,Kandy,2024-09-30,5,Half Board,Deluxe,3,24298.0,Taxi,Travel Agency,9,Monday,3,72894.0,High Spender
B0188,  Germany  ,Galle,2024-04-14,4,Half Board,Suite,1,15187.0,Train,Agent,4,Sunday,2,15187.0,Low Spender
B0189,Germany,Galle,2024-05-31,3,Breakfast,Deluxe,2,7807.0,Train,Travel Agency,5,Friday,2,15614.0,Low Spender
B0190,India,Galle,2024-09-07,5,Full Board,Suite,2,26163.0,Bus,Agent,9,Saturday,3,52326.0,High Spender
B0191,UK,Negombo,2024-11-24,3,Room Only,Budget,7,8269.0,Flight,Travel Agency,11,Sunday,4,57883.0,High Spender
B0193,India,Colombo ,2024-05-20,5,Half Board,Budget,5,26565.0,Taxi,Agent,5,Monday,2,132825.0,High Spender
B0194,UK,Colombo,2024-09-26,4,Half Board,Deluxe,7,14690.0,Bus,Travel Agency,9,Thursday,3,102830.0,High Spender
B0195,China,Colombo,2024-02-11,5,Room Only,Budget,4,24396.0,Taxi,Online,2,Sunday,1,97584.0,High Spender
B0196,  UK  ,Galle ,2024-11-26,4,Room Only,Budget,2,14134.0,Taxi,Direct,11,Tuesday,4,28268.0,Medium Spender
B0197,Australia,Negombo,2024-10-15,5,Room Only,Standard,7,24072.0,Train,Agent,10,Tuesday,4,168504.0,High Spender
B0198,India,Colombo,2024-03-24,5,Breakfast,Suite,6,26982.0,Bus,Travel Agency,3,Sunday,1,161892.0,High Spender
B0199,Russia,Galle,2024-09-13,5,Half Board,Budget,1,24685.0,Flight,Direct,9,Friday,3,24685.0,Medium Spender
B0200,Germany,Negombo,2024-06-16,3,Half Board,Suite,4,7565.0,Taxi,Travel Agency,6,Sunday,2,30260.0,Medium Spender
B0201,India,Galle,2024-05-31,3,Room Only,Budget,3,7446.0,Train,Travel Agency,5,Friday,2,22338.0,Medium Spender
B0202,UK,Colombo ,2024-07-03,4,Room Only,Standard,1,14062.0,Taxi,Travel Agency,7,Wednesday,3,14062.0,Low Spender
B0203,Germany,Kandy,2024-06-15,4,Room Only,Deluxe,4,14663.0,Flight,Agent,6,Saturday,2,58652.0,High Spender
B0204,India,Colombo,2024-06-03,4,Full Board,Standard,1,14001.0,Bus,Travel Agency,6,Monday,2,14001.0,Low Spender
B0205,India,Negombo,2024-11-16,4,Breakfast,Suite,1,13906.0,Flight,Travel Agency,11,Saturday,4,13906.0,Low Spender
B0206,France,Colombo,2024-06-20,4,Breakfast,Deluxe,3,15309.0,Train,Travel Agency,6,Thursday,2,45927.0,Medium Spender
B0207,Russia,Colombo,2024-12-21,5,Full Board,Standard,3,24380.0,Taxi,Direct,12,Saturday,4,73140.0,High Spender
B0208,Germany,Kandy,2024-12-15,5,Room Only,Suite,6,23548.0,Bus,Online,12,Sunday,4,141288.0,High Spender
B0209,  India  ,Kandy,2024-11-20,4,Breakfast,Deluxe,6,13962.0,Taxi,Travel Agency,11,Wednesday,4,83772.0,High Spender
B0211,India,Kandy,2024-01-23,5,Full Board,Deluxe,7,24652.0,Flight,Online,1,Tuesday,1,172564.0,High Spender
B0212,Germany,Kandy,2024-10-21,3,Full Board,Deluxe,4,7940.0,Train,Direct,10,Monday,4,31760.0,Medium Spender
B0213,India,Negombo ,2024-02-13,3,Breakfast,Deluxe,3,7748.0,Train,Travel Agency,2,Tuesday,1,23244.0,Medium Spender
B0214,USA,Kandy,2024-02-04,4,Room Only,Budget,1,16047.0,Flight,Agent,2,Sunday,1,16047.0,Low Spender
